label_type	pref_label	label
cell	ips-nihi11	ips c1
cell	ips-nihi11	ips nihi11
cell	ips-nihi11	ips-nihi11
cell	ips-nihi7	ag08395
cell	ips-nihi7	ips nihi7
cell	ips-nihi7	ips-nihi7
cell	iris pigment epithelial cell	iris pigment epithelial cell
cell	ishikawa	ishikawa
cell	ishikawa	ishikawa cell
cell	islet precursor cell	islet precursor cell
cell	islk-219	islk-219
cell	jjn-3	jjn-3
cell	jurkat	jm
cell	jurkat	jm cell
cell	jurkat	jurkat
cell	jurkat	jurkat cell
cell	jurkat	jurkat clone e61
cell	jurkat clone e61	jurkat clone e61
cell	jurkat e6-1	jurkat e6-1
cell	jurkat e-6.1 cell	jurkat cell e-6.1
cell	jurkat e-6.1 cell	jurkat cell e6.1
cell	jurkat e-6.1 cell	jurkat e6-1
cell	jurkat e-6.1 cell	jurkat e6.1
